Step 0 | loss:2.238386869430542 lr:0.0 gpu_resources:16631460352
Step 0 | peak_memory_active:17.015202304 peak_memory_alloc:17.015202304 peak_memory_reserved:17.425235968
Step 0 | loss:2.2172229290008545 lr:0.0 gpu_resources:16624054784
Step 0 | peak_memory_active:16.989327872 peak_memory_alloc:16.989327872 peak_memory_reserved:17.425235968
Step 0 | loss:2.4669582843780518 lr:0.0 gpu_resources:16581739008
Step 0 | peak_memory_active:16.91417856 peak_memory_alloc:16.91417856 peak_memory_reserved:17.425235968
Step 0 | loss:2.1732912063598633 lr:0.0 gpu_resources:16807097344
Step 0 | peak_memory_active:17.314608128 peak_memory_alloc:17.314608128 peak_memory_reserved:18.442354688
Step 0 | loss:1.6969412565231323 lr:0.0 gpu_resources:16824722432
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:2.233818531036377 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:1.936589241027832 lr:0.0 gpu_resources:16752216576
Step 0 | peak_memory_active:17.21188608 peak_memory_alloc:17.21188608 peak_memory_reserved:19.49302784
Step 0 | loss:2.0676095485687256 lr:0.0 gpu_resources:16812262400
Step 0 | peak_memory_active:17.323234304 peak_memory_alloc:17.323234304 peak_memory_reserved:19.49302784
Step 0 | loss:2.7437024116516113 lr:0.0 gpu_resources:16674927104
Step 0 | peak_memory_active:17.06687744 peak_memory_alloc:17.06687744 peak_memory_reserved:19.49302784
Step 0 | loss:2.51603102684021 lr:0.0 gpu_resources:16725645312
Step 0 | peak_memory_active:17.16274176 peak_memory_alloc:17.16274176 peak_memory_reserved:19.49302784
Step 0 | loss:2.3125038146972656 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:1.9646575450897217 lr:0.0 gpu_resources:16739727360
Step 0 | peak_memory_active:17.189136384 peak_memory_alloc:17.189136384 peak_memory_reserved:19.49302784
Step 0 | loss:2.1558470726013184 lr:0.0 gpu_resources:16713992192
Step 0 | peak_memory_active:17.14082816 peak_memory_alloc:17.14082816 peak_memory_reserved:19.49302784
Step 0 | loss:1.9061864614486694 lr:0.0 gpu_resources:16735033344
Step 0 | peak_memory_active:17.180338176 peak_memory_alloc:17.180338176 peak_memory_reserved:19.49302784
Step 0 | loss:1.9642817974090576 lr:0.0 gpu_resources:16727992320
Step 0 | peak_memory_active:17.167140864 peak_memory_alloc:17.167140864 peak_memory_reserved:19.49302784
Step 0 | loss:2.725726842880249 lr:0.0 gpu_resources:16696854528
Step 0 | peak_memory_active:17.107273728 peak_memory_alloc:17.107273728 peak_memory_reserved:19.49302784
Step 0 | loss:1.915644645690918 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:1.7050893306732178 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:3.012131929397583 lr:0.0 gpu_resources:16525086208
Step 0 | peak_memory_active:16.812379648 peak_memory_alloc:16.812379648 peak_memory_reserved:19.49302784
Step 0 | loss:2.0634779930114746 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:2.0638585090637207 lr:0.0 gpu_resources:16739727360
Step 0 | peak_memory_active:17.189136384 peak_memory_alloc:17.189136384 peak_memory_reserved:19.49302784
Step 0 | loss:2.372544288635254 lr:0.0 gpu_resources:16789642240
Step 0 | peak_memory_active:17.28214528 peak_memory_alloc:17.28214528 peak_memory_reserved:19.49302784
Step 0 | loss:1.8934407234191895 lr:0.0 gpu_resources:16788370432
Step 0 | peak_memory_active:17.278821376 peak_memory_alloc:17.278821376 peak_memory_reserved:19.49302784
Step 0 | loss:2.017627000808716 lr:0.0 gpu_resources:16733079552
Step 0 | peak_memory_active:17.176332288 peak_memory_alloc:17.176332288 peak_memory_reserved:19.49302784
Step 0 | loss:2.0860941410064697 lr:0.0 gpu_resources:16745240576
Step 0 | peak_memory_active:17.198753792 peak_memory_alloc:17.198753792 peak_memory_reserved:19.49302784
Step 0 | loss:1.826977252960205 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:2.7896459102630615 lr:0.0 gpu_resources:16616423936
